

Starting up round 14:25:08
---------------------
[14:25:31]HREF: 14:25 BlackCrystalic (usr:BlackCrystalic) || /datum/admins src=[0x21003172];c_mode=1
[14:25:32]HREF: 14:25 BlackCrystalic (usr:BlackCrystalic) || /datum/admins src=[0x21003172];c_mode2=Distress%20Signal
[14:26:31]HREF: 14:26 Artyuom (usr:Artyuom) || Artyuom src=[0x300005f];lobby_choice=show_preferences
[14:26:32]HREF: 14:26 Artyuom (usr:Artyuom) || Artyuom src=[0x300005f];lobby_choice=show_preferences
[14:26:32]HREF: 14:26 Artyuom (usr:Artyuom) || Artyuom src=[0x300005f];lobby_choice=show_preferences
[14:26:41]HREF: 14:26 EngineerConager (usr:EngineerConager) || EngineerConager src=[0x3000060];lobby_choice=ready
[14:26:42]HREF: 14:26 EngineerConager (usr:EngineerConager) || EngineerConager src=[0x3000060];lobby_choice=ready
[14:26:42]HREF: 14:26 EngineerConager (usr:EngineerConager) || EngineerConager src=[0x3000060];lobby_choice=ready
[14:27:23]HREF: 14:27 BlackCrystalic (usr:BlackCrystalic) || BlackCrystalic src=[0x300005a];lobby_choice=ready
[14:27:24]HREF: 14:27 BlackCrystalic (usr:BlackCrystalic) || BlackCrystalic src=[0x300005a];lobby_choice=show_preferences
[14:27:27]HREF: 14:27 BlackCrystalic (usr:BlackCrystalic) || BlackCrystalic src=[0x300005a];preference=save
[14:27:29]HREF: 14:27 ZyberCpechnaz (usr:ZyberCpechnaz) || ZyberCpechnaz src=[0x3000059];lobby_choice=ready
[14:27:29]HREF: 14:27 ZyberCpechnaz (usr:ZyberCpechnaz) || ZyberCpechnaz src=[0x3000059];lobby_choice=show_preferences
[14:27:31]HREF: 14:27 ZyberCpechnaz (usr:ZyberCpechnaz) || _src_=prefs;preference=be_special;num=0
[14:27:31]HREF: 14:27 ZyberCpechnaz (usr:ZyberCpechnaz) || _src_=prefs;preference=be_special;num=1
[14:27:32]HREF: 14:27 ZyberCpechnaz (usr:ZyberCpechnaz) || ZyberCpechnaz src=[0x3000059];preference=save
[14:27:32]HREF: 14:27 ZyberCpechnaz (usr:ZyberCpechnaz) || ZyberCpechnaz src=[0x3000059];preference=save
[14:27:33]HREF: 14:27 ZyberCpechnaz (usr:ZyberCpechnaz) || ZyberCpechnaz src=[0x3000059];preference=save
[14:28:39]HREF: 14:28 Artyuom (usr:Artyuom) || _src_=prefs;preference=be_special;num=0
[14:28:40]HREF: 14:28 Artyuom (usr:Artyuom) || _src_=prefs;preference=be_special;num=2
[14:28:42]HREF: 14:28 Artyuom (usr:Artyuom) || _src_=prefs;preference=job;task=menu
[14:28:45]HREF: 14:28 Artyuom (usr:Artyuom) || _src_=prefs;preference=job;task=input;text=Squad%20Medic
[14:28:46]HREF: 14:28 Artyuom (usr:Artyuom) || _src_=prefs;preference=job;task=input;text=Squad%20Medic
[14:28:49]HREF: 14:28 Artyuom (usr:Artyuom) || _src_=prefs;preference=job;task=input;text=Squad%20Medic
[14:28:51]HREF: 14:28 Artyuom (usr:Artyuom) || _src_=prefs;preference=job;task=input;text=Squad%20Medic
[14:28:55]HREF: 14:28 Artyuom (usr:Artyuom) || _src_=prefs;preference=job;task=input;text=Doctor
[14:28:56]HREF: 14:28 EngineerConager (usr:EngineerConager) || EngineerConager src=[0x3000062];lobby_choice=ready
[14:28:57]HREF: 14:28 EngineerConager (usr:EngineerConager) || EngineerConager src=[0x3000062];lobby_choice=ready
[14:28:57]HREF: 14:28 EngineerConager (usr:EngineerConager) || EngineerConager src=[0x3000062];lobby_choice=ready
[14:28:58]HREF: 14:28 EngineerConager (usr:EngineerConager) || EngineerConager src=[0x3000062];lobby_choice=ready
[14:29:00]HREF: 14:29 Artyuom (usr:Artyuom) || _src_=prefs;preference=job;task=close
[14:29:05]HREF: 14:29 Artyuom (usr:Artyuom) || Artyuom src=[0x300005f];lobby_choice=ready
[14:29:33]HREF: 14:29 EngineerConager (usr:EngineerConager) || EngineerConager src=[0x3000062];lobby_choice=ready
[14:29:33]HREF: 14:29 EngineerConager (usr:EngineerConager) || EngineerConager src=[0x3000062];lobby_choice=ready
[14:29:33]HREF: 14:29 EngineerConager (usr:EngineerConager) || EngineerConager src=[0x3000062];lobby_choice=ready
[14:29:34]HREF: 14:29 EngineerConager (usr:EngineerConager) || EngineerConager src=[0x3000062];lobby_choice=ready
[14:29:34]HREF: 14:29 EngineerConager (usr:EngineerConager) || EngineerConager src=[0x3000062];lobby_choice=ready
[14:29:38]HREF: 14:29 EngineerConager (usr:EngineerConager) || EngineerConager src=[0x3000062];lobby_choice=ready
[14:29:39]HREF: 14:29 EngineerConager (usr:EngineerConager) || EngineerConager src=[0x3000062];lobby_choice=ready
[14:29:39]HREF: 14:29 EngineerConager (usr:EngineerConager) || EngineerConager src=[0x3000062];lobby_choice=ready
[14:29:42]HREF: 14:29 EngineerConager (usr:EngineerConager) || EngineerConager src=[0x3000062];lobby_choice=show_preferences
[14:29:43]HREF: 14:29 EngineerConager (usr:EngineerConager) || EngineerConager src=[0x3000062];lobby_choice=show_preferences
[14:29:43]HREF: 14:29 EngineerConager (usr:EngineerConager) || EngineerConager src=[0x3000062];lobby_choice=show_preferences
[14:29:43]HREF: 14:29 EngineerConager (usr:EngineerConager) || EngineerConager src=[0x3000062];lobby_choice=show_preferences
[14:29:55]HREF: 14:29 EngineerConager (usr:EngineerConager) || EngineerConager src=[0x3000062];lobby_choice=ready
[14:30:34]HREF: 14:30 NIKIGO (usr:NIKIGO) || NIKIGO src=[0x300005d];lobby_choice=show_preferences
[14:30:35]HREF: 14:30 NIKIGO (usr:NIKIGO) || NIKIGO src=[0x300005d];lobby_choice=show_preferences
[14:30:44]HREF: 14:30 NIKIGO (usr:NIKIGO) || _src_=prefs;preference=h_style;task=input
[14:30:51]HREF: 14:30 NIKIGO (usr:NIKIGO) || _src_=prefs;preference=h_style;task=input
[14:30:54]HREF: 14:30 NIKIGO (usr:NIKIGO) || _src_=prefs;preference=h_style;task=input
[14:31:02]HREF: 14:31 NIKIGO (usr:NIKIGO) || _src_=prefs;preference=h_style;task=input
[14:31:07]HREF: 14:31 NIKIGO (usr:NIKIGO) || _src_=prefs;preference=h_style;task=input
[14:31:17]HREF: 14:31 NIKIGO (usr:NIKIGO) || _src_=prefs;preference=hair;task=input
[14:31:37]HREF: 14:31 NIKIGO (usr:NIKIGO) || _src_=prefs;preference=job;task=menu
[14:31:42]HREF: 14:31 NIKIGO (usr:NIKIGO) || _src_=prefs;preference=job;task=input;text=Vehicle%20Crewman
[14:31:43]HREF: 14:31 NIKIGO (usr:NIKIGO) || _src_=prefs;preference=job;task=input;text=Vehicle%20Crewman
[14:31:44]HREF: 14:31 NIKIGO (usr:NIKIGO) || _src_=prefs;preference=job;task=input;text=Vehicle%20Crewman
[14:32:09]HREF: 14:32 NIKIGO (usr:NIKIGO) || _src_=prefs;preference=job;task=close
[14:32:14]HREF: 14:32 NIKIGO (usr:NIKIGO) || NIKIGO src=[0x300005d];preference=save
[14:32:22]HREF: 14:32 NIKIGO (usr:NIKIGO) || NIKIGO src=[0x300005d];lobby_choice=ready
[14:32:44]HREF: 14:32 Sewa (usr:Sewa) || Sewa src=[0x3000066];lobby_choice=show_preferences
[14:33:20]HREF: 14:33 Sewa (usr:Sewa) || Sewa src=[0x3000066];lobby_choice=ready
[14:33:26]HREF: 14:33 BlackCrystalic (usr:BlackCrystalic) || /datum/admins src=[0x21003172];c_mode=1
[14:33:28]HREF: 14:33 BlackCrystalic (usr:BlackCrystalic) || /datum/admins src=[0x21003172];c_mode2=Hunter%20Games
[14:33:28]HREF: 14:33 Sewa (usr:Sewa) || Sewa src=[0x3000066];lobby_choice=ready
[14:33:29]HREF: 14:33 Sewa (usr:Sewa) || Sewa src=[0x3000066];lobby_choice=ready
[14:33:29]HREF: 14:33 Sewa (usr:Sewa) || Sewa src=[0x3000066];lobby_choice=ready
[14:33:29]HREF: 14:33 Sewa (usr:Sewa) || Sewa src=[0x3000066];lobby_choice=ready
[14:33:30]HREF: 14:33 Sewa (usr:Sewa) || Sewa src=[0x3000066];lobby_choice=ready
[14:33:30]HREF: 14:33 Sewa (usr:Sewa) || Sewa src=[0x3000066];lobby_choice=ready
[14:33:41]HREF: 14:33 Sewa (usr:Sewa) || Sewa src=[0x3000066];lobby_choice=ready
[14:33:45]HREF: 14:33 Sewa (usr:Sewa) || Sewa src=[0x3000066];lobby_choice=ready
[14:33:46]HREF: 14:33 Sewa (usr:Sewa) || Sewa src=[0x3000066];lobby_choice=show_preferences
[14:33:47]HREF: 14:33 Sewa (usr:Sewa) || _src_=prefs;preference=job;task=menu
[14:33:52]HREF: 14:33 Sewa (usr:Sewa) || Sewa src=[0x3000066];lobby_choice=show_preferences
[14:33:54]HREF: 14:33 Sewa (usr:Sewa) || Sewa src=[0x3000066];preference=save
[14:37:03]HREF: 14:37 NIKIGO (usr:) || Prison Guard src=[0x300003e];item=body
[14:37:50]HREF: 14:37 NIKIGO (usr:) || Prison Guard src=[0x300003e];item=head
[14:38:57]HREF: 14:38 Ivan2004fantom (usr:Ivan2004fantom) || Ivan2004fantom src=[0x3000073];lobby_choice=observe
[14:45:23]HREF: 14:45 EngineerConager (usr:Dell Conrad) || Dell Conrad src=[0x3000071];track=[0x3000002]
[14:45:36]HREF: 14:45 EngineerConager (usr:Dell Conrad) || Dell Conrad src=[0x3000071];track=[0x300006b]
[14:46:31]HREF: 14:46 EngineerConager (usr:Dell Conrad) || Dell Conrad src=[0x3000071];track=[0x300006b]
[14:46:57]HREF: 14:46 ZyberCpechnaz (usr:Nasir Navarro) || Nasir Navarro src=[0x3000075];track=[0x300006b]
[14:47:47]HREF: 14:47 KluexTheSunborn (usr:KluexTheSunborn) || KluexTheSunborn src=[0x300007b];lobby_choice=late_join
[14:47:49]HREF: 14:47 KluexTheSunborn (usr:KluexTheSunborn) || KluexTheSunborn src=[0x300007b];lobby_choice=late_join
[14:48:08]HREF: 14:48 KluexTheSunborn (usr:KluexTheSunborn) || KluexTheSunborn src=[0x300007b];lobby_choice=observe
[14:48:20]HREF: 14:48 KluexTheSunborn (usr:KluexTheSunborn) || KluexTheSunborn src=[0x300007b];lobby_choice=observe
[14:49:09]HREF: 14:49 KluexTheSunborn (usr:Bob Ross) || KluexTheSunborn src=[0x300007b];lobby_choice=observe
[14:49:56]HREF: 14:49 KluexTheSunborn (usr:Bob Ross) || KluexTheSunborn src=[0x300007b];lobby_choice=observe
[14:52:15]HREF: 14:52 EngineerConager (usr:Dell Conrad) || _src_=holder;adminplayerobservecoodjump=1;X=45;Y=122;Z=1
[14:52:17]HREF: 14:52 EngineerConager (usr:Dell Conrad) || _src_=holder;adminplayerobservecoodjump=1;X=45;Y=122;Z=1
