

Starting up round 14:54:33
---------------------
[14:55:26]HREF: 14:55 KluexTheSunborn (usr:KluexTheSunborn) || KluexTheSunborn src=[0x3000064];lobby_choice=ready
[14:55:34]HREF: 14:55 EngineerConager (usr:EngineerConager) || EngineerConager src=[0x3000063];lobby_choice=ready
[14:55:40]HREF: 14:55 KluexTheSunborn (usr:KluexTheSunborn) || KluexTheSunborn src=[0x3000064];lobby_choice=ready
[14:55:53]HREF: 14:55 NIKIGO (usr:NIKIGO) || NIKIGO src=[0x3000065];lobby_choice=show_preferences
[14:55:53]HREF: 14:55 NIKIGO (usr:NIKIGO) || NIKIGO src=[0x3000065];lobby_choice=show_preferences
[14:55:54]HREF: 14:55 NIKIGO (usr:NIKIGO) || NIKIGO src=[0x3000065];lobby_choice=show_preferences
[14:56:00]HREF: 14:56 NIKIGO (usr:NIKIGO) || NIKIGO src=[0x3000065];lobby_choice=ready
[14:56:04]HREF: 14:56 EngineerConager (usr:EngineerConager) || EngineerConager src=[0x3000063];lobby_choice=ready
[14:56:05]HREF: 14:56 EngineerConager (usr:EngineerConager) || EngineerConager src=[0x3000063];lobby_choice=ready
[14:56:05]HREF: 14:56 EngineerConager (usr:EngineerConager) || EngineerConager src=[0x3000063];lobby_choice=ready
[14:56:09]HREF: 14:56 KluexTheSunborn (usr:KluexTheSunborn) || KluexTheSunborn src=[0x3000064];lobby_choice=ready
[14:56:19]HREF: 14:56 EngineerConager (usr:EngineerConager) || EngineerConager src=[0x3000063];lobby_choice=show_preferences
[14:56:21]HREF: 14:56 EngineerConager (usr:EngineerConager) || EngineerConager src=[0x3000063];lobby_choice=show_preferences
[14:56:21]HREF: 14:56 KluexTheSunborn (usr:KluexTheSunborn) || KluexTheSunborn src=[0x3000064];lobby_choice=ready
[14:56:21]HREF: 14:56 EngineerConager (usr:EngineerConager) || EngineerConager src=[0x3000063];lobby_choice=show_preferences
[14:56:21]HREF: 14:56 KluexTheSunborn (usr:KluexTheSunborn) || KluexTheSunborn src=[0x3000064];lobby_choice=ready
[14:56:58]HREF: 14:56 NIKIGO (usr:NIKIGO) || NIKIGO src=[0x3000065];lobby_choice=ready
[14:57:00]HREF: 14:57 EngineerConager (usr:EngineerConager) || EngineerConager src=[0x3000063];lobby_choice=ready
[14:57:00]HREF: 14:57 EngineerConager (usr:EngineerConager) || EngineerConager src=[0x3000063];lobby_choice=ready
[14:57:18]HREF: 14:57 Artyuom (usr:Artyuom) || Artyuom src=[0x3000061];lobby_choice=ready
[14:57:39]HREF: 14:57 BlackCrystalic (usr:BlackCrystalic) || /datum/admins src=[0x21003122];c_mode=1
[14:57:40]HREF: 14:57 BlackCrystalic (usr:BlackCrystalic) || /datum/admins src=[0x21003122];c_mode2=Distress%20Signal
[14:57:55]HREF: 14:57 KluexTheSunborn (usr:KluexTheSunborn) || KluexTheSunborn src=[0x300006b];lobby_choice=ready
[14:57:56]HREF: 14:57 KluexTheSunborn (usr:KluexTheSunborn) || KluexTheSunborn src=[0x300006b];lobby_choice=ready
[14:57:57]HREF: 14:57 KluexTheSunborn (usr:KluexTheSunborn) || KluexTheSunborn src=[0x300006b];lobby_choice=ready
[14:57:58]HREF: 14:57 EngineerConager (usr:EngineerConager) || EngineerConager src=[0x300006a];lobby_choice=ready
[14:57:59]HREF: 14:57 EngineerConager (usr:EngineerConager) || EngineerConager src=[0x300006a];lobby_choice=ready
[14:57:59]HREF: 14:57 EngineerConager (usr:EngineerConager) || EngineerConager src=[0x300006a];lobby_choice=ready
[14:58:00]HREF: 14:58 EngineerConager (usr:EngineerConager) || EngineerConager src=[0x300006a];lobby_choice=ready
[14:58:00]HREF: 14:58 EngineerConager (usr:EngineerConager) || EngineerConager src=[0x300006a];lobby_choice=ready
[14:58:04]HREF: 14:58 EngineerConager (usr:EngineerConager) || EngineerConager src=[0x300006a];lobby_choice=ready
[14:58:04]HREF: 14:58 EngineerConager (usr:EngineerConager) || EngineerConager src=[0x300006a];lobby_choice=ready
[14:58:18]HREF: 14:58 BlackCrystalic (usr:BlackCrystalic) || BlackCrystalic src=[0x3000062];lobby_choice=ready
