

Starting up round 14:05:16
---------------------
[14:07:05]HREF: 14:07 BlackCrystalic (usr:BlackCrystalic) || /datum/admins src=[0x21003410];c_mode=1
[14:07:07]HREF: 14:07 BlackCrystalic (usr:BlackCrystalic) || /datum/admins src=[0x21003410];c_mode2=Hunter%20Games
[14:07:48]HREF: 14:07 EngineerConager (usr:EngineerConager) || EngineerConager src=[0x300002f];lobby_choice=show_preferences
[14:08:43]HREF: 14:08 ZyberCpechnaz (usr:ZyberCpechnaz) || ZyberCpechnaz src=[0x3000033];lobby_choice=ready
[14:08:44]HREF: 14:08 ZyberCpechnaz (usr:ZyberCpechnaz) || ZyberCpechnaz src=[0x3000033];lobby_choice=show_preferences
[14:08:49]HREF: 14:08 BlackCrystalic (usr:BlackCrystalic) || BlackCrystalic src=[0x300002d];lobby_choice=ready
[14:08:52]HREF: 14:08 BlackCrystalic (usr:BlackCrystalic) || BlackCrystalic src=[0x300002d];lobby_choice=ready
[14:09:03]HREF: 14:09 Sewa (usr:Sewa) || Sewa src=[0x3000035];lobby_choice=ready
[14:09:46]HREF: 14:09 EngineerConager (usr:EngineerConager) || EngineerConager src=[0x300002f];lobby_choice=ready
[14:11:15]HREF: 14:11 Danik_10p (usr:Danik_10p) || Danik_10p src=[0x3000038];lobby_choice=ready
[14:19:04]HREF: 14:19 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:19:42]HREF: 14:19 ZyberCpechnaz (usr:) || Unknown src=[0x300003c];item=face
[14:19:51]HREF: 14:19 ZyberCpechnaz (usr:) || Unknown src=[0x300003c];item=body
[14:21:24]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:25]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:28]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:30]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:31]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:32]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:33]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:33]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:34]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:34]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:35]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:36]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:36]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:36]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:37]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:38]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:40]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:40]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:41]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:42]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:43]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:43]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:44]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:45]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:46]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:46]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:47]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:47]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:48]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:49]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:50]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:50]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:50]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:50]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:51]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:51]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:51]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:52]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:52]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:52]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:52]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:53]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:53]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:53]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:53]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:53]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:54]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:54]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:55]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:55]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:56]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:56]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:56]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:57]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:57]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:57]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:57]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:58]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:59]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:21:59]HREF: 14:21 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:00]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:00]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:01]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:01]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:02]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:02]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:02]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:03]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:03]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:03]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:04]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:04]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:04]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:04]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:05]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:05]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:06]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:06]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:06]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:06]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:06]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:07]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:07]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:07]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:07]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:08]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:08]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:08]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:09]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:09]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:09]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:09]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:10]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:10]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:10]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:10]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:10]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:11]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:11]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:11]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:11]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:11]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:12]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:12]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:12]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:13]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:13]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:13]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:13]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:14]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:14]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:14]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:14]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:15]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:15]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:15]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
