

Starting up round 16:11:51
---------------------
[16:12:21]HREF: 16:12 Sewa (usr:Sewa) || Sewa src=[0x3000078];lobby_choice=show_preferences
[16:12:33]HREF: 16:12 Sewa (usr:Sewa) || _src_=prefs;preference=be_special;num=0
[16:12:34]HREF: 16:12 Sewa (usr:Sewa) || _src_=prefs;preference=be_special;num=2
[16:12:36]HREF: 16:12 Sewa (usr:Sewa) || _src_=prefs;preference=be_special;num=2
[16:12:37]HREF: 16:12 EngineerConager (usr:EngineerConager) || EngineerConager src=[0x3000079];lobby_choice=show_preferences
[16:12:37]HREF: 16:12 Sewa (usr:Sewa) || _src_=prefs;preference=job;task=menu
[16:12:41]HREF: 16:12 Sewa (usr:Sewa) || _src_=prefs;preference=job;task=input;text=Squad%20Smartgunner
[16:12:43]HREF: 16:12 Sewa (usr:Sewa) || _src_=prefs;preference=job;task=input;text=Squad%20Smartgunner
[16:12:44]HREF: 16:12 Sewa (usr:Sewa) || _src_=prefs;preference=job;task=random
[16:12:45]HREF: 16:12 Sewa (usr:Sewa) || _src_=prefs;preference=job;task=random
[16:12:47]HREF: 16:12 Sewa (usr:Sewa) || _src_=prefs;preference=job;task=random
[16:12:48]HREF: 16:12 Sewa (usr:Sewa) || _src_=prefs;preference=job;task=input;text=Squad%20Smartgunner
[16:12:50]HREF: 16:12 Sewa (usr:Sewa) || _src_=prefs;preference=job;task=input;text=Squad%20Smartgunner
[16:12:51]HREF: 16:12 Sewa (usr:Sewa) || _src_=prefs;preference=job;task=input;text=Squad%20Smartgunner
[16:12:52]HREF: 16:12 Sewa (usr:Sewa) || _src_=prefs;preference=job;task=close
[16:13:03]HREF: 16:13 Artyuom (usr:Artyuom) || Artyuom src=[0x3000077];lobby_choice=show_preferences
[16:13:06]HREF: 16:13 Artyuom (usr:Artyuom) || _src_=prefs;preference=job;task=menu
[16:13:07]HREF: 16:13 Sewa (usr:Sewa) || Sewa src=[0x3000078];preference=save
[16:13:07]HREF: 16:13 Artyuom (usr:Artyuom) || _src_=prefs;preference=job;task=input;text=Squad%20Medic
[16:13:08]HREF: 16:13 Artyuom (usr:Artyuom) || _src_=prefs;preference=job;task=input;text=Squad%20Medic
[16:13:09]HREF: 16:13 Sewa (usr:Sewa) || Sewa src=[0x3000078];lobby_choice=ready
[16:13:09]HREF: 16:13 Artyuom (usr:Artyuom) || _src_=prefs;preference=job;task=input;text=Squad%20Medic
[16:13:10]HREF: 16:13 Artyuom (usr:Artyuom) || _src_=prefs;preference=job;task=input;text=Squad%20Medic
[16:13:20]HREF: 16:13 Artyuom (usr:Artyuom) || _src_=prefs;preference=job;task=close
