

Starting up round 09:12:38
---------------------
[09:16:47]HREF: 09:16 BlackCrystalic (usr:BlackCrystalic) || /datum/admins src=[0x2100340a];c_mode=1
[09:16:48]HREF: 09:16 BlackCrystalic (usr:BlackCrystalic) || /datum/admins src=[0x2100340a];c_mode2=Hunter%20Games
[09:18:20]HREF: 09:18 Harlex5435 (usr:Harlex5435) || Harlex5435 src=[0x3000037];lobby_choice=show_preferences
[09:18:33]HREF: 09:18 Harlex5435 (usr:Harlex5435) || Harlex5435 src=[0x3000037];lobby_choice=show_preferences
[09:18:51]HREF: 09:18 Harlex5435 (usr:Harlex5435) || Harlex5435 src=[0x3000037];lobby_choice=ready
[09:19:04]HREF: 09:19 BlackCrystalic (usr:BlackCrystalic) || BlackCrystalic src=[0x3000031];lobby_choice=ready
[09:19:16]HREF: 09:19 Harlex5435 (usr:Harlex5435) || Harlex5435 src=[0x3000037];lobby_choice=ready
[09:20:45]HREF: 09:20 Sldk112903 (usr:Sldk112903) || Sldk112903 src=[0x300003a];lobby_choice=show_preferences
[09:20:48]HREF: 09:20 Sldk112903 (usr:Sldk112903) || Sldk112903 src=[0x300003a];lobby_choice=show_preferences
[09:21:13]HREF: 09:21 Harlex5435 (usr:Harlex5435) || Harlex5435 src=[0x300003d];lobby_choice=ready
[09:21:20]HREF: 09:21 ZyberCpechnaz (usr:ZyberCpechnaz) || ZyberCpechnaz src=[0x3000035];lobby_choice=ready
[09:21:42]HREF: 09:21 Sldk112903 (usr:Sldk112903) || Sldk112903 src=[0x300003a];lobby_choice=show_preferences
[09:21:43]HREF: 09:21 Sldk112903 (usr:Sldk112903) || Sldk112903 src=[0x300003a];lobby_choice=show_preferences
[09:21:46]HREF: 09:21 Sldk112903 (usr:Sldk112903) || Sldk112903 src=[0x300003a];lobby_choice=show_preferences
[09:21:47]HREF: 09:21 Sldk112903 (usr:Sldk112903) || Sldk112903 src=[0x300003a];lobby_choice=show_preferences
[09:21:47]HREF: 09:21 Sldk112903 (usr:Sldk112903) || Sldk112903 src=[0x300003a];lobby_choice=show_preferences
[09:21:57]HREF: 09:21 Sldk112903 (usr:Sldk112903) || Sldk112903 src=[0x300003a];lobby_choice=show_preferences
[09:21:57]HREF: 09:21 Sldk112903 (usr:Sldk112903) || Sldk112903 src=[0x300003a];lobby_choice=show_preferences
[09:21:57]HREF: 09:21 Sldk112903 (usr:Sldk112903) || Sldk112903 src=[0x300003a];lobby_choice=show_preferences
[09:21:58]HREF: 09:21 Sldk112903 (usr:Sldk112903) || Sldk112903 src=[0x300003a];lobby_choice=show_preferences
[09:22:02]HREF: 09:22 Sldk112903 (usr:Sldk112903) || Sldk112903 src=[0x300003a];lobby_choice=show_preferences
[09:22:03]HREF: 09:22 Sldk112903 (usr:Sldk112903) || Sldk112903 src=[0x300003a];lobby_choice=show_preferences
[09:22:03]HREF: 09:22 Sldk112903 (usr:Sldk112903) || Sldk112903 src=[0x300003a];lobby_choice=show_preferences
[09:22:03]HREF: 09:22 Sldk112903 (usr:Sldk112903) || Sldk112903 src=[0x300003a];lobby_choice=show_preferences
[09:22:04]HREF: 09:22 Sldk112903 (usr:Sldk112903) || Sldk112903 src=[0x300003a];lobby_choice=show_preferences
[09:22:06]HREF: 09:22 Sldk112903 (usr:Sldk112903) || Sldk112903 src=[0x300003a];lobby_choice=ready
[09:24:41]HREF: 09:24 Sldk112903 (usr:Sldk112903) || Sldk112903 src=[0x300003f];lobby_choice=show_preferences
[09:24:42]HREF: 09:24 Sldk112903 (usr:Sldk112903) || Sldk112903 src=[0x300003f];lobby_choice=show_preferences
[09:24:42]HREF: 09:24 Sldk112903 (usr:Sldk112903) || Sldk112903 src=[0x300003f];lobby_choice=show_preferences
[09:24:42]HREF: 09:24 Sldk112903 (usr:Sldk112903) || Sldk112903 src=[0x300003f];lobby_choice=show_preferences
[09:24:48]HREF: 09:24 Sldk112903 (usr:Sldk112903) || Sldk112903 src=[0x300003f];lobby_choice=show_preferences
[09:24:48]HREF: 09:24 Sldk112903 (usr:Sldk112903) || Sldk112903 src=[0x300003f];lobby_choice=show_preferences
[09:24:48]HREF: 09:24 Sldk112903 (usr:Sldk112903) || Sldk112903 src=[0x300003f];lobby_choice=ready
[09:28:59]HREF: 09:28 Harlex5435 (usr:) || Harlex5435 src=[0x300003d];lobby_choice=show_preferences
[09:29:00]HREF: 09:29 Harlex5435 (usr:) || Harlex5435 src=[0x300003d];lobby_choice=show_preferences
