

Starting up round 13:59:41
---------------------
[14:07:22]HREF: 14:07 Harlex5435 (usr:Harlex5435) || Harlex5435 src=[0x3000036];lobby_choice=ready
[14:07:22]HREF: 14:07 Harlex5435 (usr:Harlex5435) || Harlex5435 src=[0x3000036];lobby_choice=ready
[14:07:51]HREF: 14:07 Harlex5435 (usr:Harlex5435) || Harlex5435 src=[0x3000036];lobby_choice=ready
[14:08:03]HREF: 14:08 Harlex5435 (usr:Harlex5435) || Harlex5435 src=[0x3000036];lobby_choice=show_preferences
[14:08:06]HREF: 14:08 Harlex5435 (usr:Harlex5435) || _src_=prefs;preference=job;task=menu
[14:08:14]HREF: 14:08 Harlex5435 (usr:Harlex5435) || _src_=prefs;preference=job;task=close
[14:11:23]HREF: 14:11 Harlex5435 (usr:Harlex5435) || Harlex5435 src=[0x3000036];lobby_choice=show_preferences
[14:11:27]HREF: 14:11 Harlex5435 (usr:Harlex5435) || _src_=prefs;preference=h_style;task=input
[14:11:33]HREF: 14:11 Harlex5435 (usr:Harlex5435) || _src_=prefs;preference=job;task=menu
[14:11:39]HREF: 14:11 Harlex5435 (usr:Harlex5435) || _src_=prefs;preference=job;task=input;text=Squad%20Specialist
[14:11:41]HREF: 14:11 Harlex5435 (usr:Harlex5435) || _src_=prefs;preference=job;task=input;text=Squad%20Smartgunner
[14:11:43]HREF: 14:11 Harlex5435 (usr:Harlex5435) || _src_=prefs;preference=job;task=input;text=Squad%20Smartgunner
[14:11:45]HREF: 14:11 Harlex5435 (usr:Harlex5435) || _src_=prefs;preference=job;task=input;text=Squad%20Medic
[14:11:46]HREF: 14:11 Harlex5435 (usr:Harlex5435) || _src_=prefs;preference=job;task=input;text=Squad%20Medic
[14:11:48]HREF: 14:11 Harlex5435 (usr:Harlex5435) || _src_=prefs;preference=job;task=input;text=Chief%20Medical%20Officer
[14:11:50]HREF: 14:11 Harlex5435 (usr:Harlex5435) || _src_=prefs;preference=job;task=input;text=Chief%20Medical%20Officer
[14:11:52]HREF: 14:11 Harlex5435 (usr:Harlex5435) || _src_=prefs;preference=job;task=input;text=Researcher
[14:11:54]HREF: 14:11 Harlex5435 (usr:Harlex5435) || _src_=prefs;preference=job;task=input;text=Researcher
[14:11:55]HREF: 14:11 Harlex5435 (usr:Harlex5435) || _src_=prefs;preference=job;task=input;text=Squad%20Leader
[14:11:57]HREF: 14:11 Harlex5435 (usr:Harlex5435) || _src_=prefs;preference=job;task=input;text=Squad%20Leader
[14:11:58]HREF: 14:11 Harlex5435 (usr:Harlex5435) || _src_=prefs;preference=job;task=input;text=Squad%20Engineer
[14:11:59]HREF: 14:11 Harlex5435 (usr:Harlex5435) || _src_=prefs;preference=job;task=input;text=Squad%20Engineer
[14:12:13]HREF: 14:12 Harlex5435 (usr:Harlex5435) || _src_=prefs;preference=job;task=close
[14:12:19]HREF: 14:12 Harlex5435 (usr:Harlex5435) || _src_=prefs;preference=h_style;task=input
[14:12:25]HREF: 14:12 Harlex5435 (usr:Harlex5435) || _src_=prefs;preference=h_style;task=input
[14:12:28]HREF: 14:12 Harlex5435 (usr:Harlex5435) || _src_=prefs;preference=h_style;task=input
[14:12:30]HREF: 14:12 EngineerConager (usr:EngineerConager) || EngineerConager src=[0x300002e];lobby_choice=ready
[14:12:34]HREF: 14:12 Harlex5435 (usr:Harlex5435) || _src_=prefs;preference=h_style;task=input
[14:12:38]HREF: 14:12 Harlex5435 (usr:Harlex5435) || _src_=prefs;preference=h_style;task=input
[14:12:43]HREF: 14:12 Harlex5435 (usr:Harlex5435) || _src_=prefs;preference=h_style;task=input
[14:12:48]HREF: 14:12 Harlex5435 (usr:Harlex5435) || _src_=prefs;preference=h_style;task=input
[14:12:52]HREF: 14:12 Harlex5435 (usr:Harlex5435) || _src_=prefs;preference=h_style;task=input
[14:13:00]HREF: 14:13 Harlex5435 (usr:Harlex5435) || _src_=prefs;preference=f_style;task=input
[14:13:03]HREF: 14:13 Harlex5435 (usr:Harlex5435) || _src_=prefs;preference=f_style;task=input
[14:13:07]HREF: 14:13 Harlex5435 (usr:Harlex5435) || _src_=prefs;preference=f_style;task=input
[14:13:10]HREF: 14:13 Harlex5435 (usr:Harlex5435) || _src_=prefs;preference=f_style;task=input
[14:13:18]HREF: 14:13 Harlex5435 (usr:Harlex5435) || _src_=prefs;preference=f_style;task=input
[14:13:22]HREF: 14:13 Harlex5435 (usr:Harlex5435) || _src_=prefs;preference=f_style;task=input
[14:13:27]HREF: 14:13 Harlex5435 (usr:Harlex5435) || _src_=prefs;preference=f_style;task=input
[14:13:30]HREF: 14:13 Harlex5435 (usr:Harlex5435) || _src_=prefs;preference=f_style;task=input
[14:16:09]HREF: 14:16 BlackCrystalic (usr:BlackCrystalic) || BlackCrystalic src=[0x3000032];lobby_choice=observe
[14:18:01]HREF: 14:18 Harlex5435 (usr:Unknown) || The unknown src=[0x3000009];item=body
[14:28:00]HREF: 14:28 BlackCrystalic (usr:Blacky 'GG' Crysis) || /datum/controller/vote src=[0x21000002];vote=custom
[14:28:15]HREF: 14:28 EngineerConager (usr:) || R&D Console src=[0x2005d67];menu=1.1
[14:28:18]HREF: 14:28 EngineerConager (usr:) || Medical Laptop src=[0x2005d64];login=1
[14:28:20]HREF: 14:28 BlackCrystalic (usr:Blacky 'GG' Crysis) || /datum/controller/vote src=[0x21000002];vote=cancel
[14:28:21]HREF: 14:28 BlackCrystalic (usr:Blacky 'GG' Crysis) || /datum/controller/vote src=[0x21000002];vote=close
[14:28:32]HREF: 14:28 Artyuom (usr:Artyuom) || Artyuom src=[0x300003d];lobby_choice=late_join
[14:28:34]HREF: 14:28 Artyuom (usr:Artyuom) || /datum/controller/vote src=[0x21000002];vote=close
[14:28:36]HREF: 14:28 Artyuom (usr:Artyuom) || Artyuom src=[0x300003d];lobby_choice=late_join
[14:28:38]HREF: 14:28 Artyuom (usr:Artyuom) || Artyuom src=[0x300003d];lobby_choice=observe
[14:28:42]HREF: 14:28 Harlex5435 (usr:Unknown) || /datum/controller/vote src=[0x21000002];vote=close
